SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Peralta Trail Elementary School,public,10965 E Peralta Road,Gold Canyon,Pinal,85118-,y,lpn,75,98.7,0,99,96,0,96,96,4,100,98.7,1.3,100,98.7,1.3,100,98.7,0,99,98.7,1.3,100,4,0,N/A
Percy L. Julian,public,2149 East Carver St,Phoenix ,Maricopa,85040-,y,rn,90,100,0,100,96.7,0,100,97.8,0,99,98.9,0,99,98.9,0,99,98.9,0,99,98.9,0,99,0,0,N/A
"Phoeni,x Day School For The Deaf",public,7654 N 19th Ave,Phoenix,Maricopa,85021-,y,lpn,21,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Phoenix Advantage Charter School,charter,3738 N. 16th St.,Phoenix,Maricopa,85016-,n, ,55,98.2,0,98,81.8,0,84,81.8,0,82,98.2,0,98,98.2,0,98,98.2,0,98,98.2,0,98,0,0,N/A
Phoenix Christian Preparatory School,private,1751 W. Indian School Rd.,Phoenix,Maricopa,85015-,n, ,22,100,0,100,77.3,0,82,72.7,0,77,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Phoenix Collegiate Academy,charter,5610 S. Central Ave.,Phoenix,Maricopa,85040-3090,n, ,63,90.5,0,90,20.6,0,21,22.2,0,22,90.5,0,90,88.9,0,89,90.5,0,90,90.5,0,90,0,0,N/A
Phoenix Country Day School,private,3901 E Stanford Drive,Paradise Valley,Maricopa,85253-,y,rn,57,98.2,1.8,100,100,0,100,96.5,1.8,100,96.5,3.5,100,96.5,3.5,100,94.7,5.3,100,96.5,3.5,100,3.5,1.8,N/A
Picacho School,public,17865 S. Vail Road,Picacho,Pinal,85141-,n, ,22,100,0,100,100,0,100,13.6,0,14,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Picture Rocks Intermediate,public,5875 N. Sanders Rd,Tucson,Pima,85743-,n,n/a,101,98,2,100,97,3,100,95,5,100,97,3,100,98,2,100,99,1,100,100,0,100,5,1,N/A
Pima Butte Elementary,public,42202 W Rancho El Dorado Parkway,Maricopa,Pinal,85138-,y,rn,59,96.6,3.4,100,89.8,8.5,100,89.8,8.5,100,94.9,5.1,100,94.9,5.1,100,96.6,3.4,100,96.6,3.4,100,8.5,0,N/A
Pima Elementary,public,192 E. 200 S.,Pima,Graham,85543-,y,rn,68,95.6,1.5,97,88.2,2.9,91,88.2,2.9,91,97.1,2.9,100,97.1,2.9,100,95.6,1.5,97,97.1,1.5,99,2.9,0,N/A
Pine Forest School,charter,1120 W Kaibab Lane,Flagstaff,Coconino,86001-,n, ,30,76.7,23.3,100,76.7,23.3,100,56.7,23.3,80,76.7,23.3,100,76.7,23.3,100,73.3,23.3,97,76.7,23.3,100,23.3,0,N/A
Pinnacle Peak Elementary,charter,7690 E Williams Drive,Scottsdale,Maricopa,85255-,y,rn,97,99,1,100,93.8,5.2,100,91.8,7.2,100,99,1,100,96.9,3.1,100,96.9,3.1,100,99,0,99,8.2,2.1,N/A
Pinnacle Pointe Academy,charter,6753 W. Pinnacle Peak Road,Glendale,Maricopa,85310-,n,n/a,27,96.3,3.7,100,96.3,3.7,100,92.6,7.4,100,96.3,3.7,100,96.3,3.7,100,96.3,3.7,100,96.3,3.7,100,7.4,0,N/A
Pinon Accelerated Middle School,public,Po Box 839,Pinon,Navajo,86510-,y,rn,91,100,0,100,94.5,0,100,94.5,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Pioneer,public,6315 W. Port Au Prince Ln.,Glendale,Maricopa,85306-,y,rn,56,92.9,5.4,98,94.6,5.4,100,94.6,5.4,100,92.9,5.4,98,92.9,5.4,98,92.9,5.4,98,92.9,5.4,98,5.4,0,N/A
Pioneer Elementary,public,1535 N Greenfield Road,Gilbert,Maricopa,85234-,y,rn,82,98.8,1.2,100,96.3,3.7,100,96.3,3.7,100,98.8,1.2,100,98.8,1.2,100,100,0,100,100,0,100,3.7,0,N/A
Pioneer Preparatory School,public,6510 W Clarendon Ave,Phoenix,Maricopa,85033-,n, ,98,100,0,100,95.9,2,100,95.9,2,100,100,0,100,100,0,100,100,0,100,100,0,100,2,0,N/A
Pistor Middle School,public,5455 S. Cardinal Ave.,Tucson,Pima,85746-,y,rn,327,100,0,100,99.4,0,100,99.4,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Playa Del Rey,public,550 N. Horne,Gilbert,Maricopa,85233,y,rn,65,95.4,4.6,100,90.8,7.7,100,90.8,7.7,100,95.4,4.6,100,95.4,4.6,100,100,0,100,95.4,4.6,100,4.6,0,N/A
Pomeroy Elementary,public,1507 W. Shawnee Dr,Chandler,Maricopa,85224-,y,rn,71,91.5,5.6,97,78.9,11.3,93,78.9,9.9,92,94.4,5.6,100,93,7,100,93,5.6,99,100,0,100,11.3,1.4,N/A
Porfirio H. Gonzales Elementary School,public,9401 W. Garfield Street,Tolleson,Maricopa,85353-,y,lpn,69,91.3,0,91,44.9,0,96,44.9,0,45,95.7,0,96,97.1,0,97,98.6,0,99,98.6,0,99,0,0,N/A
Porter Elementary School,public,1350 S. Lindsay Rd. ,Mesa,Maricopa,85204-6229,y,rn,65,98.5,1.5,100,93.8,3.1,100,93.8,4.6,100,100,0,100,98.5,1.5,100,98.5,1.5,100,100,0,100,3.1,1.5,N/A
Power Ranch Elementary,public,4351 S Ranch House Pkwy,Gilbert,Maricopa,85297-,n,n/a,111,99.1,.9,100,91.9,5.4,100,91.9,5.4,100,99.1,.9,100,98.2,1.8,100,98.2,1.8,100,98.2,1.8,100,4.5,0,N/A
Prescott Mile High Middle School,public,300 S. Granite St.,Prescott,Yavapai,86303-____,y,rn,154,94.8,5.2,100,83.8,16.2,100,82.5,17.5,100,94.2,5.8,100,92.9,7.1,100,93.5,6.5,100,93.5,6.5,100,20.8,0,N/A
Presidio School,charter,1695 E. Ft. Lowell,Tucson,Pima,85719-,n, ,37,97.3,0,97,97.3,0,97,64.9,2.7,68,94.6,0,95,97.3,0,97,97.3,0,97,97.3,0,97,2.7,0,N/A
Pueblo Del Sol,public,3449 N 39th Ave,Phoenix,Maricopa,85009-,n, ,195,100,0,100,94.9,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Pueblo Del Sol Elementary,public,5130 Paseo Las Palmas,Sierra Vista,Cochise,85635-,y,rn,82,96.3,3.7,100,90.2,7.3,100,91.5,7.3,100,96.3,3.7,100,96.3,3.7,100,97.6,2.4,100,100,0,100,7.3,0,N/A
Pueblo Elementary School,public,2803 W 20th St,Yuma,Yuma,85364-,n, ,117,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Pueblo Gardens ,public,2210 E. 33rd Street,Tucson ,Pima,85713-,y,rn,56,100,0,100,100,0,100,98.2,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Pusch Ridge Christian Academy,private,9500 N. Oracle Road,Tucson,Pima,85704-,n,n/a,23,95.7,4.3,100,60.9,4.3,65,60.9,4.3,65,95.7,4.3,100,91.3,4.3,96,95.7,4.3,100,95.7,4.3,100,4.3,0,N/A
Quail Run Elementary School,public,4600 W Cortaro Farms Road,Tucson,Pima,85742-,y,rn,82,98.8,1.2,100,98.8,1.2,100,97.6,2.4,100,100,0,100,100,0,100,100,0,100,100,0,100,2.4,1.2,N/A
Quail Run Elementary School - Phoenix,charter,3303 E. Utopia Road,Phoenix,Maricopa,85050-,y,rn,86,97.7,2.3,100,80.2,19.8,100,82.6,17.4,100,96.5,3.5,100,94.2,5.8,100,96.5,3.5,100,80.2,16.3,97,5.8,2.3,N/A
Quartz Hill Elementary,public,3680 S. Quartz St.,Gilbert,Maricopa,85297-,y,rn,108,97.2,2.8,100,93.5,4.6,100,93.5,4.6,100,98.1,1.9,100,97.2,2.8,100,98.1,1.9,100,98.1,1.9,100,7.4,0,N/A
Queen Creek Middle School,public,20435 S Old Ellsworth Rd,Queen Creek,Maricopa,85142-,y,rn,385,96.9,3.1,100,93.2,6.8,100,92.2,7.5,100,96.9,3.1,100,96.9,3.1,100,96.6,3.4,100,100,0,100,7.5,.3,N/A
Quentin Elementary School,public,1600 S. 107th Avenue,Avondale,Maricopa,85323-,y,lpn,96,100,0,100,87.5,1,92,86.5,1,89,100,0,100,100,0,100,100,0,100,100,0,100,1,0,N/A
R. E. Simpson,public,5330 North 23rd Avenue,Phoenix,Maricopa,85015-,n, ,166,99.4,.6,100,98.2,1.2,99,98.2,1.2,99,99.4,.6,100,99.4,.6,100,99.4,.6,100,99.4,.6,100,1.2,0,N/A
R. Pete Woodard Jr. High ,public,2250 S. 8th Ave,Yuma,Yuma,85364-,n, ,215,99.5,0,100,92.1,0,92,92.1,0,92,100,0,100,100,0,100,99.5,0,100,96.7,0,97,0,0,N/A
Rainbow Valley Elementary,public,19716 W. Narramore ,Buckeye,Maricopa,85326-,n, ,72,98.6,1.4,100,87.5,2.8,92,88.9,2.8,92,98.6,1.4,100,98.6,1.4,100,98.6,1.4,100,95.8,4.2,100,12.5,11.1,N/A
Ralph Waldo Emerson,public,915 East Palm Lane,Phoenix,Maricopa,85006-,y,rn,41,97.6,0,98,92.7,0,98,95.1,0,98,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Ranch Elementary School,public,43521 N. Kenworthy Rd.,San Tan Valley,Pinal,85140-,n,n/a,65,92.3,7.7,100,89.2,10.8,100,89.2,10.8,100,90.8,9.2,100,92.3,7.7,100,93.8,6.2,100,93.8,6.2,100,12.3,0,N/A
Rancho Gabriela Elementary,public,15272 W. Gabriela Dr,Surprise,Maricopa,85379-,y,rn,115,99.1,.9,100,73.9,2.6,79,73.9,3.5,79,98.3,.9,99,98.3,.9,99,98.3,.9,99,98.3,1.7,100,3.5,0,N/A
Rancho Solano Preparatory School,private,9180 E. Via De Ventura,Scottsdale,Maricopa,85258-,y,rn,43,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,2.3,0,N/A
Rancho Viejo,public,1020 Ave C,Yuma,Yuma,85364-,y,lpn,147,100,0,100,95.9,.7,100,95.9,.7,100,100,0,100,100,0,100,100,0,100,100,0,100,.7,0,N/A
Rattlesnake Ridge Elementary,public,8500 N Continental Reserve Loop,Tucson,Pima,85743-,n, ,82,93.9,4.9,99,93.9,4.9,99,93.9,4.9,99,96.3,3.7,100,97.6,2.4,100,93.9,6.1,100,93.9,6.1,100,7.3,0,N/A
Ray Borane Middle School,public,840 12th Street,Douglas,Cochise,85607-,n, ,153,97.4,0,97,94.1,0,97,94.1,0,97,98.7,0,99,97.4,0,97,98,0,98,96.7,0,97,0,0,N/A
Ray Unified School District,public,Po Box 427,Kearny,Pinal,85137-,y,rn,33,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Red Mesa Unified School District,public,Hc 61 Box 40 Highway 191,Teec Nos Pos,Apache,86545-,n, ,39,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Red Mountain Ranch Elementary,public,6650 E. Raftriver St,Mesa,Maricopa,85215-,y,rn,87,96.6,3.4,100,88.5,6.9,99,88.5,6.9,99,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,100,0,100,8,0,N/A
Red Rock Elementary School,public,P.o. Box 1010,Red Rock,Pinal,85145-1010,y,rn,35,100,0,100,94.3,5.7,100,91.4,0,91,100,0,100,100,0,100,100,0,100,100,0,100,5.7,0,N/A
Redbird Elementary School,public,1020 S Extension Rd,Mesa,Maricopa,85210-,y,rn,75,98.7,1.3,100,98.7,1.3,100,98.7,1.3,100,100,0,100,100,0,100,100,0,100,100,0,100,1.3,0,N/A
Rice Elementary School,public,P.o. Box 207,San Carlos,Gila,85550-,y,rn,104,100,0,100,72.1,0,73,70.2,0,71,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Richard B Wilson Jr School,public,2330 West Glover Rd,Tucson,Pima,85742-,y,rn,196,98,1.5,99,95.9,3.6,100,92.3,7.7,100,98,1.5,99,98.5,1.5,100,98.5,1,99,99,1,100,3.6,4.6,N/A
Richardson Elementary,public,6901 N. Camino De La Tierra,Tucson,Pima,85741-,y,rn,58,94.8,3.4,98,96.6,3.4,100,96.6,3.4,100,96.6,3.4,100,98.3,1.7,100,98.3,1.7,100,96.6,1.7,98,3.4,0,N/A
"Ridgeline Academy-a Challenge Foundation Academy, Inc.",charter,33625 N. North Valley Parkway,Phoenix,Maricopa,85085-,n, ,48,93.8,6.3,100,66.7,10.4,96,64.6,12.5,81,93.8,6.3,100,93.8,6.3,100,95.8,4.2,100,91.7,6.3,98,12.5,0,N/A
Riggs Elementary,public,6930 S. Seville Blvd W.,Gilbert,Maricopa,85298-,n,n/a,145,97.9,2.1,100,91,4.1,99,93.1,4.1,99,97.9,2.1,100,97.9,2.1,100,97.2,2.8,100,98.6,1.4,100,4.8,0,N/A
Rim Country Middle School,public,P O Box 919,Payson,Gila,85541-,y,rn,192,95.3,4.7,100,95.3,0,97,93.8,5.2,100,97.9,2.1,100,97.9,2.1,100,98.4,1.6,100,96.9,3.1,100,6.8,0,N/A
Rincon Vista Middle School,charter,10770 E. Bilby Rd,Tucson,Pima,85747-,n,n/a,227,98.7,1.3,100,97.4,2.6,100,96.5,3.5,100,98.2,1.8,100,97.8,2.2,100,97.8,2.2,100,98.7,1.3,100,4.4,0,N/A
Rio Colorado Elmentary,public,P.o Box 6870,San Luis,Yuma,85349-,n, ,102,100,0,100,87.3,0,100,87.3,0,100,100,0,100,100,0,100,100,0,100,100,0,100,0,0,N/A
Rio Vista ,public,10237 W. Encanto Blvd.,Avondale,Maricopa,85051-,n, ,95,96.8,2.1,99,94.7,2.1,100,95.8,2.1,99,96.8,2.1,99,96.8,2.1,99,96.8,2.1,99,97.9,2.1,100,2.1,0,N/A
Riverbend Preparatory Academy,charter,5625 S. 51st Ave,Laveen,Maricopa,85339-,n, ,43,97.7,2.3,100,65.1,32.6,100,65.1,32.6,100,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,97.7,2.3,100,34.9,0,N/A
Riverview Elementary School ,public,12701 W. Main Street ,El Mirage ,Maricopa,85335-,n, ,114,98.2,.9,99,91.2,4.4,100,92.1,6.1,100,98.2,1.8,100,98.2,1.8,100,98.2,1.8,100,96.5,3.5,100,7.9,0,N/A
