SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HIB,PCT_EXEMPT_HIB,PCT_COMPLIANCE_HIB,PCT_IMMUNE_HEPA,PCT_EXEMPT_HEPA,PCT_COMPLIANCE_HEPA,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
ANTHEM PRESCHOOL,N/A,41020 NORTH FREEDOM WAY,PHOENIX,Maricopa,85086,N/A,,28,92.9,-,N/A,96.4,-,N/A,96.4,-,N/A,92.9,-,N/A,92.9,-,N/A,92.9,-,N/A,92.9,-,N/A,10.7,0,N/A
APOLLO HIGH PRESCHOOL C O O P,N/A,8045 NORTH 47TH AVENUE,GLENDALE,Maricopa,85302,N/A,,21,85.7,-,N/A,95.2,-,N/A,85.7,-,N/A,95.2,-,N/A,85.7,-,N/A,95.2,-,N/A,95.2,-,N/A,14.3,0,N/A
APOSTLES LUTHERAN PRESCHOOL,N/A,7020 WEST CACTUS ROAD,PEORIA,Maricopa,85381,N/A,,35,74.3,-,N/A,80,-,N/A,85.7,-,N/A,80,-,N/A,77.1,-,N/A,80,-,N/A,88.6,-,N/A,11.4,0,N/A
ARCADIA MONTESSORI SCHOOL,N/A,5115 EAST VIRGINIA AVENUE,PHOENIX,Maricopa,85008,N/A,,92,84.8,-,N/A,91.3,-,N/A,92.4,-,N/A,91.3,-,N/A,72.8,-,N/A,87,-,N/A,91.3,-,N/A,5.4,0,N/A
ARIZONA CULTURAL ACADEMY & COLLEGE PREP,N/A,7810 SOUTH 42ND PLACE,PHOENIX,Maricopa,85042,N/A,,37,94.6,-,N/A,94.6,-,N/A,91.9,-,N/A,94.6,-,N/A,91.9,-,N/A,94.6,-,N/A,94.6,-,N/A,5.4,2.7,N/A
ARROWHEAD ELEMENTARY PRESCHOOL,N/A,7490 WEST UNION HILLS DRIVE,GLENDALE,Maricopa,85308,N/A,,28,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
ARROWHEAD TITLE I PRESCHOOL,N/A,3820 EAST NISBET ROAD,PHOENIX,Maricopa,85032,N/A,,50,94,-,N/A,96,-,N/A,94,-,N/A,94,-,N/A,92,-,N/A,90,-,N/A,94,-,N/A,0,2,N/A
ASHLAND RANCH ELEM,N/A,1945 S ASHLAND RANCH RD,GILBERT,Maricopa,85295,N/A,,60,91.7,-,N/A,96.7,-,N/A,96.7,-,N/A,91.7,-,N/A,95,-,N/A,95,-,N/A,96.7,-,N/A,3.3,5,N/A
ASHTON RANCH ELEMENTARY,N/A,14898 W ACOMA DR,SURPRISE,Maricopa,85379,N/A,,21,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,0,0,N/A
AT TEACH AND PLAY,N/A,5827 NORTH 35TH AVENUE,PHOENIX,Maricopa,85017,N/A,,23,100,-,N/A,100,-,N/A,100,-,N/A,100,-,N/A,82.6,-,N/A,95.7,-,N/A,100,-,N/A,0,0,N/A
