Zip,Total 2011,Margin 2011,Total 2012,Margin 2012,Total 2013,Margin 2013,Total 2014,Margin 2014,Total 2015,Margin 2015,Total 2016,Margin 2016
85925,50071,8047,52584,8259,54122,10762,52333,8450,51450,8735,58022,7875
85926,53693,35166,53333,55551,29653,47750,56750,37628,,,46750,17436
85927,37622,2394,37279,1965,36705,2289,40804,11213,,,80682,53645
85928,51000,35891,29635,19820,28576,5265,26159,3729,25327,4277,30261,9055
85929,46161,17937,46014,11168,44989,6965,43220,7240,43472,6916,42063,7195
85930,45577,24118,49107,13653,37500,11895,40893,14956,39083,12527,33750,15625
85931,32083,16097,40250,22084,40250,20201,32143,8307,45500,14592,45156,9433
85932,21607,38132,20926,21628,25085,18414,28750,39887,38026,27206,38833,27788
85933,53328,19316,43139,26795,32407,17880,36488,15537,36563,9857,36964,4717
85934,23293,11899,30066,13077,55083,55205,57625,44356,57931,21075,60347,6430
85935,57612,15411,57135,14240,60475,7117,62811,4388,59148,6259,59879,8098
85936,39339,6196,36903,6495,34707,4690,36628,6460,39309,3086,42480,7384
85937,51904,10635,49130,7517,52763,5542,52159,8945,45852,6149,47017,4944
85938,38029,11181,41141,8283,43864,8907,39612,12066,30682,14326,40536,10261
85939,52150,3051,52298,4254,55436,3668,55657,3744,54426,3763,47237,11580
85940,44750,14226,44653,12395,44145,12006,47050,11241,53924,6970,55474,8500
85941,25839,5764,30768,5984,27679,5895,26614,3442,25594,2525,25261,3379
85942,,,,,,,,,,,36667,26481
86001,48424,4019,48200,4614,46991,3053,46328,2607,48292,3919,50675,3521
86003,,,,,,,,,,,-666666666,-222222222
86004,57514,3168,55465,2551,58662,2991,59714,3347,60887,3519,60898,3033
86011,14583,15960,20417,19294,10938,12858,20039,23264,,,-666666666,-222222222
86015,,,,,,,,,,,68526,46271
86016,26875,64946,28750,87171,23438,16821,20833,15673,21250,9788,13500,7791
86017,65660,15396,67628,19131,26719,9095,34600,50247,32391,31086,-666666666,-222222222
86018,57500,13896,50833,21534,40536,12366,44050,12397,48750,16628,45227,22512
86020,24271,9494,25391,7405,21944,7889,30441,7499,29306,8526,30536,5861
