SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Palo Verde Elementary,public,Po Box 81,Palo Verde,Maricopa,85343-,N/A,,61,98,0,-,98,0,-,97,0,-,98,0,-,97,0,-,0,0,N/A
Palo Verde Elementary School,public,40 N. Roosevelt Ave.,Casa Grande,Pinal,85122-,N/A,,81,96,1.2,-,98,1.2,-,99,0,-,100,0,-,100,0,-,1.23,0,N/A
Palominas Elementary School,public,P.o. Box 38,Hereford,Cochise,85615-,N/A,,42,95,4.8,-,95,4.8,-,93,7.1,-,95,4.8,-,95,4.8,-,4.76,0,N/A
Palomino Primary,public,15835 N. 29th Street,Phoenix,Maricopa,85032-,N/A,,189,96,1.1,-,97,1.1,-,97,1.1,-,95,1.1,-,98,1.1,-,1.06,.5,N/A
Pan-american Charter School,charter,3001 W. Indian School Road,Phoenix,Maricopa,85017-,N/A,,58,100,0,-,100,0,-,100,0,-,100,0,-,98,0,-,0,0,N/A
Papago,public,2013 N 36th Street,Phoenix,Maricopa,85008-,N/A,,107,100,0,-,99,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Paradise Education Center,charter,15533 W. Paradise Ln,Surprise,Maricopa,85374-,N/A,,172,97,2.9,-,98,2.3,-,97,3.5,-,98,2.3,-,98,2.3,-,4.07,0,N/A
Paradise Valley Christian Preparatory,private,11875 N. 24th Street,Phoenix,Maricopa,85032-,N/A,,24,88,12.5,-,88,12.5,-,83,16.7,-,83,16.7,-,83,16.7,-,16.67,0,N/A
Paragon Science Academy,charter,2975 E. Linda Ln,Chandler,Maricopa,85224-,N/A,,60,100,0,-,100,0,-,100,0,-,100,0,-,100,0,-,0,0,N/A
Paramount Academy,charter,11039 W Olive Ave,Peoria,Maricopa,85345-,N/A,,47,89,10.6,-,91,8.5,-,89,10.6,-,91,8.5,-,94,6.4,-,2.13,8.5,N/A
